Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
VGG16,1,0.48382588427200496,0.7885514018691588,0.5371491726001968,0.8532608695652174,0.0001
VGG16,2,0.30233704713042653,0.8598130841121495,1.0803190651552186,0.8858695652173914,0.0001
VGG16,3,0.2562469055301675,0.8855140186915887,1.284957172733772,0.9239130434782609,0.0001
VGG16,4,0.22949902890859364,0.9065420560747663,1.035921223461628,0.9402173913043478,5e-05
VGG16,5,0.15712144452138482,0.9299065420560748,1.0635292332360975,0.8967391304347826,5e-05
VGG16,6,0.1337642005599043,0.947429906542056,1.7300005841433355,0.9021739130434783,5e-05
VGG16,7,0.08643242358621732,0.955607476635514,1.4816395784323306,0.8858695652173914,2.5e-05
VGG16,8,0.07263701825095863,0.9672897196261683,1.8295931315945422,0.907608695652174,2.5e-05
VGG16,9,0.07850861742659515,0.9684579439252337,2.186252068616855,0.8641304347826086,2.5e-05
VGG16,10,0.06036718991350069,0.9754672897196262,1.6044910442961617,0.9239130434782609,1.25e-05
VGG16,11,0.023995175783243766,0.991822429906542,1.9020763557358478,0.8967391304347826,1.25e-05
VGG16,12,0.029301702434133964,0.9894859813084113,1.6638060382712232,0.9021739130434783,1.25e-05
VGG16,13,0.01657606395849279,0.9964953271028038,1.7897669812360697,0.8967391304347826,6.25e-06
VGG16,14,0.009935966746652581,0.9988317757009346,1.8987122954703923,0.9021739130434783,6.25e-06
VGG16,15,0.007633091969012715,0.9976635514018691,2.0348664190542363,0.8858695652173914,6.25e-06
