epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.543850434717731,0.7570093457943925,0.4330409506092901,0.8369565217391305,0.0001
2,0.3096776823295611,0.8644859813084113,0.39429627034975134,0.8586956521739131,0.0001
3,0.21740335685627482,0.9042056074766355,0.4288793724516164,0.8913043478260869,0.0001
4,0.15601284537359933,0.9415887850467289,0.45974764357442444,0.8804347826086957,0.0001
5,0.12912351091470675,0.9532710280373832,0.6789358672888383,0.8369565217391305,5e-05
6,0.12729468461230536,0.9509345794392523,0.32961534093255584,0.8913043478260869,5e-05
7,0.05709294633609112,0.9883177570093458,0.4551180105494416,0.8804347826086957,5e-05
8,0.04587529085263192,0.985981308411215,0.5142799107276875,0.8913043478260869,5e-05
9,0.050372832881234515,0.9789719626168224,0.7257903127566628,0.8586956521739131,2.5e-05
10,0.03504690757700216,0.9883177570093458,0.4981861846602481,0.9021739130434783,2.5e-05
11,0.041047524138588774,0.985981308411215,0.5473855241485264,0.8913043478260869,2.5e-05
